Speaker,Utterance,Dialogue_Act,Dialogue_Id,Dialogue_Act_ISO
g,starting off we are above a caravan park,instruct,q1ec1,directive
f,mmhmm,acknowledge,q1ec1,feedback
g,we are going to go due south straight south and then we're going to turn straight back round and head north past an old mill on the right hand side,instruct,q1ec1,directive
f,due south and then back up again,check,q1ec1,feedback
g,yeah,reply_y,q1ec1,answer
g,south and then straight back up again with an old mill on the right and you're going to pass on the left-hand side of the mill,clarify,q1ec1,inform
f,right okay,acknowledge,q1ec1,feedback
g,okay,align,q1ec1,None
g,and then we're going to turn east,instruct,q1ec1,directive
f,mmhmm,acknowledge,q1ec1,feedback
g,not straight east slightly sort of northeast,instruct,q1ec1,directive
f,slightly northeast,check,q1ec1,feedback
g,slightly slightly yeah,reply_y,q1ec1,answer
g,very slightly,clarify,q1ec1,inform
g,and we're going to continue straight along erm quite a wee a wee distance erm quite a wee distance right we're going to continue along on that course,instruct,q1ec1,directive
g,and then we're going to turn north again,instruct,q1ec1,directive
f,mmhmm,acknowledge,q1ec1,feedback
g,and well a distance below that turning point there's a fenced meadow,explain,q1ec1,inform
g,but you should be avoiding that by quite a distance,instruct,q1ec1,directive
f,okay,acknowledge,q1ec1,feedback
g,okay so we've turned and we're going up north again,align,q1ec1,None
f,mmhmm,reply_y,q1ec1,answer
g,continue straight up north,instruct,q1ec1,directive
f,mmhmm,acknowledge,q1ec1,feedback
g,and then we're going to turn to the west on a curvature right sort of,instruct,q1ec1,directive
f,okay,acknowledge,q1ec1,feedback
g,s bend and immediately below that bend there is an abandoned cottage,explain,q1ec1,inform
f,mmhmm,acknowledge,q1ec1,feedback
f,okay,acknowledge,q1ec1,feedback
g,and we're passing above the top of that,instruct,q1ec1,directive
g,"we're going to continue in that sort of ""s"" shape a big wide ""s""",instruct,q1ec1,directive
f,mmhmm,acknowledge,q1ec1,feedback
g,and on the sort of mmhmm top erm left of that again below it there's a fenced meadow,explain,q1ec1,inform
g,but you're passing on the top of that,instruct,q1ec1,directive
g,okay,align,q1ec1,None
g,right okay,ready,q1ec1,discourse
f,okay,reply_y,q1ec1,answer
g,"we've gone from the abandoned cottage right and we're on the sort of ""s"" shape yeah",align,q1ec1,None
f,right,reply_y,q1ec1,answer
g,right,acknowledge,q1ec1,feedback
