Speaker,Utterance,Dialogue_Act,Dialogue_Act_ISO
USR,I have a tight budget of 1700.,inform,inform
SYS,"Hi...I checked a few options for you, and unfortunately, we do not currently have any trips that meet this criteria.",sorry,apology
SYS,Would you like to book an alternate travel option?,sorry,apology
USR,"Yes, how about going to Neverland from Caprica on August 13, 2016 for 5 adults.",inform,inform
USR,"For this trip, my budget would be 1900.",inform,inform
SYS,I checked the availability for this date and there were no trips available.,suggest,directive
SYS,Would you like to select some alternate dates?,suggest,directive
USR,I have no flexibility for dates... but I can leave from Atlantis rather than Caprica.,negate,disagreement
USR,How about that?,negate,disagreement
SYS,I checked the availability for that date and there were no trips available.,suggest,directive
SYS,Would you like to select some alternate dates?,suggest,directive
USR,"I suppose I'll speak with my husband to see if we can choose other dates, and then I'll come back to you.",thankyou,thanking
USR,Thanks for your help,thankyou,thanking
USR,"Hello there i am looking to go on a vacation with my family to Gotham City, can you help me?",greeting,greeting
SYS,when  would you like to travel and how many people will you be?,request,directive
USR,"Not sure when we want to leave, but we are 12 kids and 5 adults",inform,inform
SYS,do you have a budget?,request,directive
USR,"yes i do, it is around $2200",inform,inform
SYS,where will you be travelling from?,request,directive
USR,We are from Neverland,inform,inform
SYS,"We have nothing available leaving from Neverland, are you able to depart from another city?",suggest,directive
USR,we can depart from Toronto,inform,inform
SYS,Gotham City is not a destination we travel to.,suggest,directive
SYS,Are you interested in any other destinations?,suggest,directive
USR,hmm what options would i have out of Toronto?,inform,inform
SYS,Would you be interested in Calgary?,suggest,directive
USR,that would be nice,switch_frame,
SYS,I have a departure from Toronto to Calgary  on August 17 returning on August 24.,offer,commissive
SYS,Does that work for you?,offer,commissive
USR,No sorry i was planning on getting a tan this vacation.,request_alts,directive
USR,"Thanks, is there anywhere else?",request_alts,directive
USR,Thank you,,
is there anywhere else?,request_alts,,
SYS,How about a trip to Dominican Republic?,suggest,directive
SYS,it is quite cheap at this time of year.,suggest,directive
USR,What options do you have available for me?,request,directive
SYS,I have the el Mar hotel available in Punta Cana this week.,offer,commissive
USR,That sounds interesting.,switch_frame,
USR,how many stars does the hotel have?,switch_frame,
SYS,2.5 stars.,inform,inform
SYS,You would have to fly out of Melbourne though,inform,inform
USR,Ahh...maybe another time,goodbye,goodbye
USR,"Hi I'd like to go to Caprica from Busan, between Sunday August 21, 2016 and Wednesday August 31, 2016",greeting,greeting
SYS,And what would be your maximum budget for this trip?,request,directive
USR,Actually it's unlimited for this trip,inform,inform
SYS,How many adults and how many children will be making this trip?,request,directive
USR,2 adults,inform,inform
SYS,I have no trips to Caprica from Busan.,suggest,directive
SYS,"I do have a trip to Mannheim, Germany, one to Kingston , Canada, and another to Toronto Canada.",suggest,directive
SYS,Would you like to select alternate dates or an alternate travel destination?,suggest,directive
USR,Do you have anything for San Antonio as a destination?,inform,inform
SYS,"Yes, I do.",suggest,directive
SYS,I have one for 8445.37 USD.,suggest,directive
SYS,Would you like to book this package?,suggest,directive
SYS,The guest rating is 7.15/10 and there is free parking and free wifi.,suggest,directive
SYS,"Leaving Sunday, August 21st at 11:00 a.m. and returning Sunday, August 28th at 1:00 a.m.",suggest,directive
USR,Is breakfast included?,switch_frame,
SYS,"Yes, it is.",inform,inform
USR,That sounds great.,inform,inform
USR,1:00 am return on Sunday August 28th is very early in the morning...,inform,inform
SYS,Would you like to book this package?,suggest,directive
USR,Yes I would.,thankyou,thanking
USR,Thanks for your help.,thankyou,thanking
USR,"Hey, i Want to go to St. Louis on the 17th of August",greeting,greeting
SYS,For how many days?,request,directive
USR,I need to back by the 31st,inform,inform
SYS,What will your departure city be?,request,directive
USR,I’m from Calgary,inform,inform
SYS,I have a direct flight leaving from Calgary on August 18 and returning on August 28th.,suggest,directive
SYS,Does that work for you?,suggest,directive
USR,Yes that sounds perfect may you please tell me about the destination place,moreinfo,directive
SYS,It is the Glorious Cloak inn hotel in St. Louis.,inform,inform
SYS,It has a 3-star rating.,inform,inform
USR,"That sounds lavish, what type of flight would that be?",request,directive
SYS,"You would be flying business class, for a grand total of only $1858.14",inform,inform
USR,Are there any possible flights with economy class?,inform,inform
SYS,I have a package at the Lunar whcih has a 5 star rating on an economy class flight on the same dates for $1558.00,suggest,directive
USR,that sounds even better.,switch_frame,
SYS,This deal includes free breakfast and free wifi.,suggest,directive
SYS,Would you like me to book it for you?,suggest,directive
USR,"Yes please, that sounds wonderful.",thankyou,thanking
USR,thank you,thankyou,thanking
USR,"I'm looking for a trip to Gotham City leaving from Kakariko Village on Saturday, August 13, 2016.",inform,inform
USR,3 adults for no more than $2400 USD.,inform,inform
SYS,I have a trip available to Vancouver for these dates within your price range.,suggest,directive
SYS,Would you like to increase your budget or adjust the dates?,suggest,directive
USR,I'd like to adjust the departure city to Caprica.,inform,inform
SYS,Still no availability for this destination.,suggest,directive
SYS,Would you like to increase your budget or adjust the dates?,suggest,directive
USR,The dates cannot be changed.,inform,inform
USR,"How about going to Theed with 14 adults, leaving from Kakariko Village, on a budget of $2900?",inform,inform
SYS,Still no availability.,no_result,
USR,Then I will bring my business elsewhere.,thankyou,thanking
USR,Thank you.,thankyou,thanking
USR,"Hello, I am planning to book a trip to pittsborgh",greeting,greeting
SYS,Hello.,greeting,greeting
SYS,"Would that be Pittsborgh, Pennsylvania?",greeting,greeting
USR,i think so!,affirm,answer
SYS,And what city will you be departing from?,request,directive
USR,We will be leaving from Fukuoka,inform,inform
SYS,how many people will be travelling together?,request,directive
USR,"there will be myself, 1 adult, and my four kids",inform,inform
SYS,Do you have specific dates in mind?,request,directive
USR,none at the moment,inform,inform
SYS,and for how long would you like to go for?,request,directive
USR,also not sure yet,inform,inform
SYS,"I have no flights available to Pittsburgh, but I have package available to Vancouver",suggest,directive
USR,I would like to see the availabilities in Vancouver please,request,directive
SYS,I have several available.,inform,inform
SYS,Do you have a budget in mind?,inform,inform
USR,I have $12600 to spend on this vacation,inform,inform
SYS,It would be helpful if you could provide me with some dates,request,directive
USR,we are very flexible with dates anything would work,inform,inform
SYS,I am very sorry  but I have nothing available at the moment,no_result,
USR,"that’s very unfortunate, thank you anyways",thankyou,thanking
USR,"Hi, I need to go to Mos Eisley for a wedding, leaving on Saturday, August 13, 2016 and returning on Tuesday, August 16, 2016.",inform,inform
USR,Preferably for $3700.,inform,inform
SYS,Would you like to have a departure from a specific location?,request,directive
USR,"I'd like to get away from Monday, August 15, 2016 to Wednesday, August 31, 2016.",inform,inform
USR,My budget is $3200 and I would leave from Detroit.,inform,inform
SYS,And what destination would you like to travel to?,request,directive
USR,"Anywhere, I'm looking for an adventure.",request,directive
USR,What do you have?,request,directive
SYS,How about Mexico or Porto Alegre?,offer,commissive
USR,Let's look at both,request_compare,directive
SYS,Mexico is unavailable.,inform,inform
SYS,"Porto Alegre is available, but you would have to leave from Santos.",inform,inform
USR,Can you please suggest some destinations that are available?,inform,inform
USR,I am leaving from Detroit.,inform,inform
SYS,I have no departures available from Detroit.,suggest,directive
SYS,for these dates.,suggest,directive
SYS,Would you like to make a date change?,suggest,directive
USR,Anything between August 15 and August 31?,inform,inform
