Speaker,Utterance,Dialogue_Act,Dialogue_Id,Dialogue_Act_ISO
SYS,Your call will be recorded for research purposes.,welcomemsg,train_1,thanking
SYS,"You may ask for information about a place to eat, such as a restaurant, a pub, or a cafe.",welcomemsg,train_1,thanking
SYS,How may I help you?,welcomemsg,train_1,thanking
USR,pub food cherry hinton,inform,train_1,inform
SYS,Are you looking for a pub or a restaurant?,select,train_1,None
USR,pub,inform,train_1,inform
SYS,Let me confirm.,expl-conf,train_1,answer
SYS,You are looking for a venue in the Cherry Hinton area.,expl-conf,train_1,answer
USR,yes,affirm,train_1,answer
SYS,There is no pub in the Cherry Hinton area.,canthelp,train_1,None
USR,pub food restaurant,inform,train_1,inform
SYS,"Would you like a cherry hinton area, or you don't care?",select,train_1,None
USR,cherry hinton,inform,train_1,inform
SYS,There is no pub in the Cherry Hinton area.,canthelp,train_1,None
USR,restaurant cherry hinton,inform,train_1,inform
SYS,There is no pub in the Cherry Hinton area.,canthelp,train_1,None
USR,restaurant cherry hinton,inform,train_1,inform
SYS,Are you looking for a pub or a restaurant?,select,train_1,None
USR,restaurant,inform,train_1,inform
SYS,What kind of price range are you looking for?,request,train_1,directive
SYS,"For example, cheap.",request,train_1,directive
USR,cheap,inform,train_1,inform
SYS,What type of food would you like?,request,train_1,directive
SYS,"For example, Northern european, Continental, or Italian.",request,train_1,directive
USR,pub,inform,train_1,inform
SYS,Let me confirm.,expl-conf,train_1,answer
SYS,You don't care about children and you are looking for a venue.,expl-conf,train_1,answer
USR,yes,affirm,train_1,answer
SYS,There is no pub in the Cherry Hinton area.,canthelp,train_1,None
USR,pub food cherry hinton,inform,train_1,inform
SYS,There is no pub in the Cherry Hinton area.,canthelp,train_1,None
USR,pub food restaurant,inform,train_1,inform
SYS,"Would you like a cherry hinton area, or you don't care?",select,train_1,None
USR,cherry hinton,inform,train_1,inform
SYS,There is no pub in the Cherry Hinton area.,canthelp,train_1,None
USR,restaurant,inform,train_1,inform
SYS,Are you looking for a pub or a restaurant?,select,train_1,None
USR,resaurant,inform,train_1,inform
SYS,"Would you like a cherry hinton area, or you don't care?",select,train_1,None
USR,cherry hinton,inform,train_1,inform
SYS,What type of food would you like?,request,train_1,directive
SYS,"For example, pub, English, or Fastfood.",request,train_1,directive
USR,pub,inform,train_1,inform
SYS,Are you looking for a pub or a restaurant?,select,train_1,None
USR,restaurant,inform,train_1,inform
SYS,Are you looking for somewhere near a particular venue?,request,train_1,directive
SYS,"For example, Cambridge Contemporary Art, the Gallery at twelve A High Street, or Williams Art and Antiques.",request,train_1,directive
USR,williams art and antiques,inform,train_1,inform
SYS,Are you looking for somewhere near a particular venue?,request,train_1,directive
SYS,"For example, the Broughton House Gallery, Downing College, or Old Schools.",request,train_1,directive
USR,old schools,inform,train_1,inform
SYS,Are you looking for somewhere near a particular venue?,request,train_1,directive
SYS,"For example, All Saints Church, Holy Trinity Church, or Kettle's Yard.",request,train_1,directive
USR,all saints church,inform,train_1,inform
SYS,What type of food would you like?,request,train_1,directive
SYS,"For example, Chinese take away, Drinks and snacks only, or English.",request,train_1,directive
USR,pub,inform,train_1,inform
SYS,There is no pub in the Cherry Hinton area.,canthelp,train_1,None
USR,thank you good bye,bye,train_1,goodbye
SYS,Thank you for calling the Cambridge Information system.,welcomemsg,train_2,thanking
SYS,Your call will be recorded for research purposes.,welcomemsg,train_2,thanking
SYS,"You may ask for information about a place to eat, such as a restaurant, a pub, or a cafe.",welcomemsg,train_2,thanking
SYS,How may I help you?,welcomemsg,train_2,thanking
USR,restaurant,inform,train_2,inform
SYS,What kind of price range are you looking for?,request,train_2,directive
SYS,"For example, cheap, expensive, or moderate.",request,train_2,directive
USR,middle eastern restaurant dont care about the price range,inform,train_2,inform
SYS,What kind of price range are you looking for?,request,train_2,directive
SYS,"For example, expensive, free, or moderate.",request,train_2,directive
USR,moderate,inform,train_2,inform
SYS,What type of food would you like?,request,train_2,directive
SYS,"For example, Cafe food, English, or Japanese.",request,train_2,directive
USR,middle eastern,inform,train_2,inform
SYS,Let me confirm.,expl-conf,train_2,answer
SYS,You are looking for a middleeastern venue.,expl-conf,train_2,answer
USR,middle eastern,inform,train_2,inform
SYS,Let me confirm.,expl-conf,train_2,answer
SYS,You are looking for a venue in the central area.,expl-conf,train_2,answer
USR,what is the address and phone number and price of the venue,request,train_2,directive
SYS,Let me confirm.,expl-conf,train_2,answer
SYS,You are looking for a venue in the central area.,expl-conf,train_2,answer
USR,yes,affirm,train_2,answer
