Speaker,Utterance,Dialogue_Act,Dialogue_Id,Dialogue_Act_ISO
b,um i'm in a bit of a jedder with my bill,inform,075812009,inform
b,and i was wondering if you could tell me how much i've paid at the post office with my credit card,direct,075812009,directive
b,i think i'm a bit behind on my payments,expressOpinion,075812009,inform
a,right,ackn,075812009,feedback
a,um can you just bear with me,hold,075812009,turn
a,cos my computer is not up and running at the moment,inform,075812009,inform
a,have you got your customer number,reqInfo,075812009,directive
b,okay,backch,075812009,feedback
b,oh god,exclaim,075812009,None
b,no,answ,075812009,answer
a,yeah,ackn,075812009,feedback
a,you would need that,inform,075812009,inform
a,i can't discuss any aspect of the bill unfortunately without the customer number,inform,075812009,inform
b,will that be on card,reqInfo,075812009,directive
b,i got my card handy,inform,075812009,inform
a,let me have a look right just bear with me um what have you got on the card right let me have look sorry about this but um i can't even look at your details at the moment just trying to get it up and working it's i've had a problem with it this morning what is your telephone number anyway yeah yeah,hold,075812009,turn
a,just bear with me um,hold,075812009,turn
a,what have you got on the card,reqInfo,075812009,directive
b,hang on,hold,075812009,turn
b,um i'll get it out my little goody here oh got a load of numbers oh please don't tell me i've got to go look for my other past bills please,informIntent,075812009,commissive
b,oh got a load of numbers,inform,075812009,inform
a,right,ackn,075812009,feedback
a,let me have look,hold,075812009,turn
b,oh please don't tell me i've got to go look for my other past bills please,direct,075812009,directive
a,sorry about this,expressRegret,075812009,apology
a,but um i can't even look at your details at the moment,inform,075812009,inform
a,just trying to get it up and working,informIntent-hold,075812009,None
a,it's i've had a problem with it this morning what is your telephone number anyway yeah yeah,inform,075812009,inform
a,what is your telephone number anyway,reqInfo,075812009,directive
a,yeah,ackn,075812009,feedback
a,yeah,ackn,075812009,feedback
b,oh hello,greet,075836010,greeting
b,i'm awfully sorry,expressRegret,075836010,apology
b,i rang up yesterday,inform,075836010,inform
b,wonder if you can help me really,direct,075836010,directive
a,hello,backch,075836010,feedback
a,right,ackn,075836010,feedback
b,um and i ordered a phone,inform,075836010,inform
b,i wanted to send this answer phone back,inform,075836010,inform
a,oh yeah,ackn,075836010,feedback
b,um and i ordered a phone with call display call waiting,inform,075836010,inform
b,and i've got incoming calls only,inform,075836010,inform
b,so,init,075836010,discourse
b,i wanted outgoing calls as well um cos me boyfriend's moving in here next week he forgot to tell me last night he told me he'd got the phone and i've paid for it on me card yesterday sorry i paid pounds yesterday yeah,inform,075836010,inform
b,um cos me boyfriend's moving in here next week,inform,075836010,inform
a,uh hmm,backch,075836010,feedback
a,oh right,ackn,075836010,feedback
a,yeah,ackn,075836010,feedback
b,he forgot to tell me,inform,075836010,inform
b,last night he told me he'd got the phone,inform,075836010,inform
a,right,ackn,075836010,feedback
b,and i've paid for it on me card yesterday,inform,075836010,inform
a,so,init,075836010,discourse
a,you've paid for these services,confirm,075836010,answer
a,so,init,075836010,discourse
b,sorry,pardon,075836010,apology
a,you've paid for the services with the phone haven't you like the call waiting and display,confirm,075836010,answer
b,i paid pounds yesterday,inform,075836010,inform
a,that's right yeah,ackn,075836010,feedback
a,and if you've only got um incoming calls,confirm,075836010,answer
b,yeah,ackn,075836010,feedback
a,oh no,exclaim,075836010,None
a,that isn't a problem,inform,075836010,inform
b,i wonder if you could tell me um,direct,080012009,directive
b,i'm just going to be moving into a new house shortly,inform,080012009,inform
b,and at the moment there's no phone line at all in the house uh how much does it cost to get to come and install a line it's a brand new house just been built yeah yeah yeah okay that's great okay and how how quickly can you arrange that yeah so when i contact you can we actually specify day that it's done and can you book it as a m or p m,inform,080012009,inform
b,uh how much does it cost to get to come and install a line,reqInfo,080012009,directive
a,right,ackn,080012009,feedback
a,do you know whether there has been service in the past or,reqInfo,080012009,directive
b,just been built,answElab,080012009,inform
a,oh it's brand new,confirm,080012009,answer
a,right okay well,init,080012009,discourse
a,there's two options,inform,080012009,inform
a,um either way it's an installation fee,inform,080012009,inform
a,for a standard line to be installed,inform,080012009,inform
a,it's actually pounds,inform,080012009,inform
b,yeah,ackn,080012009,feedback
a,okay,ackn,080012009,feedback
a,and that's with normal line rental which is every quarter,inform,080012009,inform
a,the other option is to actually install under the B T Together discount plan which is um to install,inform,080012009,inform
b,yeah,backch,080012009,feedback
b,yeah,ackn,080012009,feedback
a,uh but it's actually per quarter,inform,080012009,inform
a,but then on that package you do actually get all your calls discounted,inform,080012009,inform
a,um plus you get a call allowance as well,inform,080012009,inform
a,so,init,080012009,discourse
a,you get free calls worth six pounds every quarter too,inform,080012009,inform
b,okay,ackn,080012009,feedback
b,that's great,appreciate,080012009,feedback
a,alright,ackn,080012009,feedback
b,okay,ackn,080012009,feedback
b,and how how quickly can you arrange that,reqInfo,080012009,directive
a,because we need to send out an engineer,inform,080012009,inform
a,i mean you are looking at anything between and working days for the earliest appointment from when you actually contact us,answ,080012009,answer
b,yeah,ackn,080012009,feedback
b,so,init,080012009,discourse
b,when i contact you,refer,080012009,None
b,can we actually specify day that it's done,reqInfo,080012009,directive
a,yes yeah,answ,080012009,answer
a,we can book you an appointment in,answElab,080012009,inform
b,and can you book it as a m or p m,reqInfo,080012009,directive
a,good morning,greet,080106006,greeting
a,how can i help,offer,080106006,commissive
b,oh good,backch,080106006,feedback
b,oh good morning dear,greet,080106006,greeting
b,um i've had a phone bill this morning from you charging me for um an outright sale for an additional handset and charger that was delivered to me um on on Friday,inform,080106006,inform
b,now,init,080106006,discourse
b,the thing is that um i spoke to someone on Monday because the lad who said this would do wonders and what's it miracles didn't explain that i needed a base for this and i haven't got a base,inform,080106006,inform
a,right,backch,080106006,feedback
a,mm hmm,backch,080106006,feedback
a,oh dear,exclaim,080106006,None
b,so,init,080106006,discourse
b,i spoke to somebody on Monday and i said well look i'm going to return this and they said yeah no problem at all we'll send you um an envelope to put it back in to just take it up the post office and that will be credited to your account,inform,080106006,inform
a,right,backch,080106006,feedback
a,that's right,ackn,080106006,feedback
a,it will,confirm,080106006,answer
b,well now,init,080106006,discourse
b,um that was Monday,confirm,080106006,answer
b,this morning i've got the bill for this um,inform,080106006,inform
b,but i still haven't received the parcel the the envelopes to send this back in,inform,080106006,inform
a,yeah,ackn,080106006,feedback
a,that's alright,ackn,080106006,feedback
a,don't worry,direct,080106006,directive
a,as soon as um it takes two or three days for the bag to get to you,inform,080106006,inform
b,oh does it,backch,080106006,feedback
b,right,ackn,080106006,feedback
b,only i was gonna say i've still got the black bag it came in,inform,080106006,inform
b,i could tart that up and send it back no,expressPossibility,080106006,inform
a,no no no,negate,080106006,disagreement
b,right right fine,ackn,080106006,feedback
b,so so,init,080106006,discourse
b,that's what will happen,confirm,080106006,answer
b,now,init,080106006,discourse
b,when i get it,refer,080106006,None
b,do i put this bill in with it,reqInfo,080106006,directive
a,and um,backch,080106006,feedback
a,um no no,answ,080106006,answer
a,if you keep the bill alright,direct,080106006,directive
a,and then what we will do,informIntent,080106006,commissive
a,we can credit that as soon as that comes back as soon as we receive the phone,inform,080106006,inform
a,then we will credit back,informIntent,080106006,commissive
a,now,init,080106006,discourse
a,is is that included with your normal bill,reqInfo,080106006,directive
b,mm,backch,080106006,feedback
b,yeah,backch,080106006,feedback
b,now,backch,080106006,feedback
b,no no,answ,080106006,answer
b,my normal bill's not due yet,inform,080106006,inform
b,oh my god a person,exclaim,080255012,None
b,hello,greet,080255012,greeting
a,hello,greet,080255012,greeting
b,i haven't got my account number bill on me,inform,080255012,inform
b,but if i give you my phone number,informIntent,080255012,commissive
a,right okay,ackn,080255012,feedback
b,um it's,inform,080255012,inform
a,yeah,ackn,080255012,feedback
a,mm mm,ackn,080255012,feedback
a,okay,ackn,080255012,feedback
a,and can you confirm your name and your address for me please,reqInfo,080255012,directive
a,lovely,appreciate,080255012,feedback
a,and do you know the post code,reqInfo,080255012,directive
a,lovely,appreciate,080255012,feedback
a,thank you,thank,080255012,thanking
a,how can i help you today,offer,080255012,commissive
b,oh it's a rang number here,inform,080408011,inform
b,sorry,expressRegret,080408011,apology
b,right,ackn,080408011,feedback
b,sorry,expressRegret,080408011,apology
b,good morning,greet,080434009,greeting
a,good morning,greet,080434009,greeting
b,how nice to phone early and to get through straight away um,appreciate,080434009,feedback
b,yeah,accept,080434009,agreement
b,i know,accept,080434009,agreement
b,i'm moving my dear,inform,080434009,inform
b,and i want to give you some particulars,informIntent,080434009,commissive
a,hello,greet,080452013,greeting
a,hello,greet,080452013,greeting
b,hello,greet,080452013,greeting
a,yes,ackn,080452013,feedback
a,can i help,offer,080452013,commissive
b,hello,greet,080517006,greeting
b,wonder if you can um,direct,080517006,directive
b,we're moving out of the property on Friday,inform,080517006,inform
b,but we want to take um this number with us because we use it as a business line as well,inform,080517006,inform
b,so,init,080517006,discourse
b,we don't really want to have a new number,expressWish,080517006,inform
a,right,backch,080517006,feedback
a,oh right okay,ackn,080517006,feedback
a,you're moving sort of in the same area are you,reqInfo,080517006,directive
b,um from um to so it's six miles no it's um yes in a minute mummy's on the phone double yeah it's mister no partner is yeah,answ,080517006,answer
b,so,init,080517006,discourse
b,it's six miles,answElab,080517006,inform
a,right,ackn,080517006,feedback
a,you probably won't be on the same exchange,inform,080517006,inform
a,but i'll have a look for you,informIntent,080517006,commissive
a,what's your telephone number please,reqInfo,080517006,directive
b,it's um,answ,080517006,answer
a,okay,ackn,080517006,feedback
a,and the dialling code please,reqInfo,080517006,directive
b,yeah,ackn,080517006,feedback
b,it's mister no partner is yeah,answ,080517006,answer
a,and post code,reqInfo,080517006,directive
a,that's lovely,appreciate,080517006,feedback
a,and your missus are you,reqInfo,080517006,directive
b,no,answ,080517006,answer
b,partner,answElab,080517006,inform
a,right and your name and you're moving this Friday okay do you have your account number there at all,ackn,080517006,feedback
a,and your name,reqInfo,080517006,directive
b,is yeah,answ,080517006,answer
